,brand-model,1st sm,1st share,2nd sm,2nd share,3rd sm,3rd share,4th sm,4th share,5th sm,5th share,image_url
74,braun/博朗-?MQ700,手持,21.21%,小容量,20.94%,婴儿辅食,20.9%,全自动,20.19%,智能,16.75%,http://img.alicdn.com/imgextra/i2/22502798/TB2uDj2nVXXXXbWXpXXXXXXXXXX_!!22502798.jpg
75,braun/博朗-?MQ700料理机配件,婴儿辅食,20.87%,小容量,20.8%,全自动,20.62%,手持,19.35%,智能,18.37%,http://img.alicdn.com/imgextra/i2/485552487/TB2fTYWowxlpuFjSszbXXcSVpXa_!!485552487.jpg
76,braun/博朗-?MQ705,婴儿辅食,20.85%,小容量,20.79%,全自动,20.62%,手持,19.33%,智能,18.41%,http://img.alicdn.com/imgextra/i2/485552487/TB2.v8ApQ9WBuNjSspeXXaz5VXa_!!485552487.jpg
77,braun/博朗-?MQ735,婴儿辅食,20.87%,小容量,20.8%,全自动,20.62%,手持,19.35%,智能,18.37%,http://img.alicdn.com/imgextra/i4/2829060891/TB1SF05SVXXXXbMXXXXXXXXXXXX_!!0-item_pic.jpg
78,braun/博朗-?MQ745,全自动,20.79%,婴儿辅食,20.74%,小容量,20.58%,智能,19.72%,手持,18.17%,http://img.alicdn.com/imgextra/i3/2829060891/TB1_SjCcxrI8KJjy0FpXXb5hVXa_!!0-item_pic.jpg
79,braun/博朗-?MQ745/MQ785,手持,27.36%,婴儿辅食,20.53%,小容量,20.17%,全自动,19.96%,智能,11.97%,http://img.alicdn.com/imgextra/i3/2549841410/TB1sJjxa29TBuNjy1zbXXXpepXa_!!0-item_pic.jpg
80,braun/博朗-?MQ785,婴儿辅食,20.87%,小容量,20.8%,全自动,20.62%,手持,19.35%,智能,18.37%,http://img.alicdn.com/imgextra/i4/2829060891/TB2keh8aPmfF1JjSspcXXXZMXXa_!!2829060891.jpg
81,braun/博朗-?MQ787,全自动,20.85%,婴儿辅食,20.74%,小容量,20.7%,智能,19.0%,手持,18.71%,http://img.alicdn.com/imgextra/i3/2591395636/TB2MT7JreuSBuNjy1XcXXcYjFXa_!!2591395636.jpg
82,braun/博朗-?MQ9087X,婴儿辅食,20.97%,小容量,20.96%,全自动,20.57%,手持,19.39%,智能,18.11%,http://img.alicdn.com/imgextra/i1/1911588863/TB2vQACeOMnBKNjSZFoXXbOSFXa_!!1911588863.jpg
83,braun/博朗-?mq9087,婴儿辅食,20.86%,小容量,20.81%,全自动,20.64%,手持,19.28%,智能,18.4%,http://img.alicdn.com/imgextra/i2/105142850/TB2r5d4gILJ8KJjy0FnXXcFDpXa_!!105142850.jpg
84,braun/博朗-?其它博朗榨汁机型号,婴儿辅食,20.88%,小容量,20.82%,全自动,20.63%,手持,19.36%,智能,18.32%,http://img.alicdn.com/imgextra/i2/22502798/TB2Te5ibXXXXXaZXXXXXXXXXXXX-22502798.jpg
85,clara-MST-PBJ-V30,婴儿辅食,20.87%,小容量,20.8%,全自动,20.62%,手持,19.35%,智能,18.37%,http://img.alicdn.com/imgextra/i4/2506010982/TB2v.2Pe3aTBuNjSszfXXXgfpXa_!!2506010982.jpg
86,clara-XD-K20E,婴儿辅食,20.87%,小容量,20.8%,全自动,20.62%,手持,19.34%,智能,18.37%,http://img.alicdn.com/imgextra/i2/2506010982/TB2mPHjjDTI8KJjSsphXXcFppXa_!!2506010982.jpg
87,climax/客来美-HA-3093,婴儿辅食,20.87%,小容量,20.8%,全自动,20.62%,手持,19.35%,智能,18.37%,http://img.alicdn.com/imgextra/i4/923508751/TB1.n5Vlj3z9KJjy0FmXXXiwXXa_!!0-item_pic.jpg
88,dark horse/黑马-HM-630,婴儿辅食,20.87%,小容量,20.8%,全自动,20.62%,手持,19.35%,智能,18.37%,http://img.alicdn.com/imgextra/i4/2257369559/TB2Nmqne2jM8KJjSZFyXXXdzVXa_!!2257369559.jpg
89,dark horse/黑马-KM-699,婴儿辅食,20.94%,小容量,20.9%,全自动,20.79%,智能,19.14%,手持,18.24%,http://img.alicdn.com/imgextra/i4/2257369559/TB2qNpfasUrBKNjSZPxXXX00pXa_!!2257369559.jpg
90,deass/德氏-FE318F1,婴儿辅食,20.87%,小容量,20.8%,全自动,20.62%,手持,19.35%,智能,18.37%,http://img.alicdn.com/imgextra/i4/541014343/TB2yLZOd1uSBuNjSsziXXbq8pXa_!!541014343.jpg
91,electrolux/伊莱克斯-EMB3005,婴儿辅食,20.99%,小容量,20.93%,全自动,20.83%,手持,18.95%,智能,18.29%,http://img.alicdn.com/imgextra/i4/1718453972/TB2M3fRtkSWBuNjSszdXXbeSpXa_!!1718453972-0-item_pic.jpg
