,brand,model,price,biz30day,total_sold_price
243,peskoe/半球,HB-K808,399.0,10.0,3990.0
244,philips/飞利浦, HR1604,198.0,213.0,42199.93
245,philips/飞利浦, HR1609,209.0,2.0,418.0
246,philips/飞利浦, HR1626,368.0,129.0,47537.0
247,philips/飞利浦, HR1608/03,174.0,95.0,16614.8
248,recolte/丽克特,RCP-2,599.0,8.0,4792.0
249,philips/飞利浦, HR2056,200.0,285.0,57055.0
250,philips/飞利浦, HR2062,134.0,4.0,536.0
251,smeg,SMF 01,4998.0,1.0,4998.0
252,philips/飞利浦, HR2100,184.0,451.0,83253.17
253,robot-coupe/罗伯特.库伯,MICROMIX,2117.0,19.0,40232.5
254,philips/飞利浦, HR2100/40,169.0,15.0,2535.0
255,philips/飞利浦, HR2166,326.0,26.0,8480.0
256,philips/飞利浦, HR3653,668.0,4.0,2674.6
257,rosenstein&sohne,NC2406,1299.0,2.0,2598.0
258,philips/飞利浦, hr2101,241.0,17.0,4098.0
259,philips/飞利浦, hr2872,275.0,367.0,100973.0
260,philips/飞利浦, hr2874,215.0,256.0,55294.6
261,ranbem/瑞本,767S,198.0,632.0,125140.0
262,ranbem/瑞本,768B,398.0,352.0,140096.0
263,ranbem/瑞本,775,398.0,348.0,138504.0
264,ranbem/瑞本,RBM-728,985.0,15.0,14775.0
265,ranbem/瑞本,RBM-768B,398.0,25.0,9950.0
266,ranbem/瑞本,RBM-775,398.0,870.0,346260.0
267,royalstar/荣事达, RS-JR20E,99.0,15.0,1485.0
268,royalstar/荣事达, RZ-1018C1,156.0,27.0,4223.0
269,royalstar/荣事达, RZ-8001,148.0,814.0,120472.0
270,severin,SM3710,759.0,5.0,3795.0
271,royalstar/荣事达, RZ-283,109.0,18.0,1962.0
272,royalstar/荣事达, RZ-378H,149.0,1.0,149.0
273,royalstar/荣事达, RZ-505,155.0,313.0,48527.0
274,royalstar/荣事达, RZ-708H,139.0,42.0,5838.0
275,royalstar/荣事达, RZ-8012,178.0,167.0,29726.0
276,savtm/狮威特,BR11A,498.0,5.0,2490.0
277,severin,SM3739,369.0,17.0,6283.0
278,shield king/盾皇,DK-777,298.0,7.0,2086.0
279,skg,1260C,299.0,17.0,5083.0
280,skg,1290,299.0,1.0,299.0
281,stelang/雪特朗,ST-301A,99.0,48.0,4752.0
282,supor/苏泊尔,BV501-300,399.0,1.0,399.0
283,supor/苏泊尔,JP06D-1300,799.0,9.0,7191.0
284,supor/苏泊尔,JG32D-300,299.0,2.0,598.0
285,supor/苏泊尔,JP08P,949.0,36.0,34164.0
286,supor/苏泊尔,JM10-150,99.0,14.0,1386.0
287,supor/苏泊尔,JP05D-1300,1599.0,31.0,49569.0
288,supor/苏泊尔,JP08P-1300,969.0,5.0,4845.0
289,supor/苏泊尔,JP12D-800,1102.0,74.0,81576.0
290,supor/苏泊尔,JP13D-800,1299.0,50.0,64950.0
291,supor/苏泊尔,JP23D-1100,999.0,25.0,24975.0
292,supor/苏泊尔,JP37V-1300,1899.0,5.0,9495.0
293,supor/苏泊尔,JS36D-300,206.0,11.0,2269.0
294,supor/苏泊尔,JS39D-250,120.0,8234.0,996286.0
295,supor/苏泊尔,SJ609B-300,185.0,53.0,9857.0
296,supor/苏泊尔,TJE08A-250,184.0,1075.0,198191.0
297,teables/泰博斯,SY-1,119.0,113.0,13447.0
298,tescom,TMV1500,1758.0,139.0,244394.0
299,wik/伟嘉,电动迷你搅拌机,138.0,35.0,4830.0
300,tescom,TMV1550,2042.0,56.0,114370.0
301,topkitch,MS-1,270.0,80.0,21654.4
